"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"TG002VMAPP029","Cluster_PF_SAGE","Hard disk 1","300","Thin","Persistent","[DS_DATA_SHAREPOINT1] TG002VMAPP029_UPD/TG002VMAPP029_UPD.vmdk"
"TG002VMAPP084_UP","Cluster_PF_SAGE","Hard disk 1","300","Thin","Persistent","[DS_OS_APP-2b] TG002VMAPP084UP/TG002VMAPP084UP.vmdk"
"TG002VMICC127","Cluster_SAGE","Hard disk 1","200","Thin","Persistent","[DS_RESTO] TG002VMICC127/TG002VMICC127.vmdk"
"TG002VMICC127","Cluster_SAGE","Hard disk 2","146,1","Thick","Persistent","[DS_RESTO] TG002VMICC127/TG002VMICC127_1.vmdk"
"TG002VMICC127","Cluster_SAGE","Hard disk 3","400","Thick","Persistent","[DS_RESTO] TG002VMICC127/TG002VMICC127_2.vmdk"
"TG002VMICC127","Cluster_SAGE","Hard disk 4","400","Thin","Persistent","[DS_OS_DBSQL-1] TG002VMICC127/TG002VMICC127_3.vmdk"
"TG002VMWEB143","Cluster_PF_SAGE","Hard disk 1","200","Thin","Persistent","[DS_RESTO_SAGE] TG002VMWEB143/TG002VMWEB143.vmdk"
"TG002VMWEB143","Cluster_PF_SAGE","Hard disk 2","300","Thin","Persistent","[DS_RESTO_SAGE] TG002VMWEB143/TG002VMWEB143_1.vmdk"
"TG002VMDBS182_G","Cluster_PF_BSS","Hard disk 1","1024","Thin","Persistent","[DS_RESTO] TG002VMDBS182_RE/TG002VMDBS182_RE.vmdk"
"TG002VMDBS182_G","Cluster_PF_BSS","Hard disk 2","1272","Thick","Persistent","[DS_RESTO] TG002VMDBS182_RE/TG002VMDBS182_RE_1.vmdk"
"TG002VMDBS182_G","Cluster_PF_BSS","Hard disk 3","500","Thick","Persistent","[DS_RESTO] TG002VMDBS182_RE/TG002VMDBS182_RE_2.vmdk"
"TG002VMDATANODE01_R","Cluster_DWH","Hard disk 1","500","Thin","Persistent","[DS_TEST_RESTAURATION] TG002VMDATANODE01_R/TG002VMDATANODE01_R.vmdk"
"TG002VMFLWCOL01_R","Cluster_DWH","Hard disk 1","500","Thick","Persistent","[DS_TEST_RESTAURATION] TG002VMFLWCOL01_R/TG002VMFLWCOL01_R.vmdk"
"TG002VMFLWCOL02_RE","Cluster_DWH","Hard disk 1","500","Thick","Persistent","[DS_TEST_RESTAURATION] TG002VMFLWCOL02_RE/TG002VMFLWCOL02_RE.vmdk"
"TG002VMADC014","Cluster_DWH","Hard disk 1","300","Thin","Persistent","[DS_STB_FZ_DATA_BD] TG002VMADC014/TG002VMADC014.vmdk"
"TG002VMDWH017","Cluster_DWH","Hard disk 1","120","Thin","Persistent","[DS_OS_WHEHOUS] TG002VMDWH017/TG002VMDWH017.vmdk"
"TG002VMDWH017","Cluster_DWH","Hard disk 2","2048","Thin","Persistent","[DS_DATA_WHEHOUS] TG002VMDWH017/TG002VMDWH017.vmdk"
"TG002VMDWH017","Cluster_DWH","Hard disk 3","2048","Thin","Persistent","[DS_DATA_WHEHOUS] TG002VMDWH017/TG002VMDWH017_1.vmdk"
"TG002VMDEV105","Cluster_DWH","Hard disk 1","200","Thin","Persistent","[DS_OS_DEV00-3] TG002VMDEV105/TG002VMDEV105.vmdk"
"TG002VMDEV105","Cluster_DWH","Hard disk 2","200","Thick","Persistent","[DS_OS_DEV00-3] TG002VMDEV105/TG002VMDEV105_1.vmdk"
