"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG002VMDBO157","Cluster_PF_SAGE","net.usage.average","KBps","359","1,1031","2","2","2","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","IRIS_PRP_PROD","Cluster_PF_SAGE","cpu.ready.summation","millisecond","359","43176,3036","53162","62262","69043","29684","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","IRIS_PRP_PROD","Cluster_PF_SAGE","cpu.usage.average","%","359","0,7119","0,75","2,12","2,26","0,58","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","IRIS_PRP_PROD","Cluster_PF_SAGE","cpu.usagemhz.average","MHz","359","309,3928","324","913","974","252","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","IRIS_PRP_PROD","Cluster_PF_SAGE","disk.usage.average","KBps","359","4,4095","5","62","74","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","IRIS_PRP_PROD","Cluster_PF_SAGE","mem.consumed.average","KB","359","100540766,6685","100542464","100544512","100544512","100540416","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","IRIS_PRP_PROD","Cluster_PF_SAGE","mem.usage.average","%","359","33,3269","37,35","38,14","38,2","24,26","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","IRIS_PRP_PROD","Cluster_PF_SAGE","mem.vmmemctl.average","KB","359","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","IRIS_PRP_PROD","Cluster_PF_SAGE","net.usage.average","KBps","359","0,9916","1","1","1","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMELK002","Cluster_PF_SAGE","cpu.ready.summation","millisecond","359","144493,1671","187974","205149","271096","75330","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMELK002","Cluster_PF_SAGE","cpu.usage.average","%","359","10,0676","21,81","28,19","33","2,37","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMELK002","Cluster_PF_SAGE","cpu.usagemhz.average","MHz","359","6512,5237","14101","18230","21340","1539","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMELK002","Cluster_PF_SAGE","disk.usage.average","KBps","359","64333,9972","105090","139474","405476","12788","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMELK002","Cluster_PF_SAGE","mem.consumed.average","KB","359","201317913,9889","201325722","201325728","201325731","200766446","09/08/2026 22:00:00","08/09/2026 18:00:00"
