"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"DS_DATA_CDR-3","VMFS","10239,75","433,12","9806,63","95,77","True","6","2","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_ICCARE_MOB","VMFS","199,75","198,34","1,41","0,70","True","8","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115"
"DS_OS_IPS","VMFS","599,75","87,98","511,77","85,33","True","8","1","10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS-OS-PAM","VMFS","499,75","177,68","322,07","64,45","True","12","0","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"disque_interne_41","VMFS","271,75","260,17","11,58","4,26","True","1","0","10.80.18.70"
"DS_DATA_WHEHOUS","VMFS","7169,75","1062,70","6107,05","85,18","True","4","6","10.80.18.70;10.80.18.75;10.80.18.18;10.80.18.19"
"DS_DATA_EXH_ARCHIV-2","VMFS","10239,75","5630,10","4609,65","45,02","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"LUN_FLZN_BKP","VMFS","6143,75","6142,25","1,50","0,02","True","4","0","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115"
"DS_PROD_PH_SRM","VMFS","99,75","98,34","1,41","1,41","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_CITRIX_01","VMFS","5119,75","3977,34","1142,41","22,31","True","12","9","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"snap-3a965a04-DS_TEST_SRM1","VMFS","499,75","498,33","1,42","0,28","True","11","0","10.80.18.70;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_APP-2b","VMFS","2047,75","1798,5","249,25","12,17","True","10","3","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_XF_NEW","VMFS","5119,75","2046,90","3072,85","60,02","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_CTX_00-2","VMFS","2047,75","1287,16","760,59","37,14","True","4","0","10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115"
"DS_OS_ELK","VMFS","499,75","343,02","156,73","31,36","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_CACHE_SSD_10","VMFS","111,5","0,55","110,95","99,51","True","1","0","10.80.18.10"
"DS_OS_LYN_02","VMFS","499,75","349,48","150,27","30,07","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_LYN_04","VMFS","499,75","466,19","33,56","6,72","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_XFILES_002","VMFS","7367,75","1349,38","6018,37","81,69","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_ECMS","VMFS","499,75","214,42","285,33","57,09","True","7","1","10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.24"
"DS_OS_CRM-PROV","VMFS","1023,75","1022,32","1,43","0,14","True","12","0","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_MFL-2","VMFS","20479,75","4430,88","16048,87","78,36","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
