"VM","Cluster","Snapshot","Created","SizeGB","Description"
"TG002VMCTX004_replica","Cluster_DR","Restore Point 30-07-2026 15:21:00","30/07/2026 15:28:43","17,57","<RPData PointTime=""5250896235032530054"" WorkingSnapshotTime=""5250896235428415087"" PointSize=""18864930816"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP059_RE_replica","Cluster_DR","Restore Point 17-07-2026 01:30:03","17/07/2026 01:33:36","224,47","<RPData PointTime=""5250884504460146994"" WorkingSnapshotTime=""5250884504814891325"" PointSize=""241018339328"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP059_RE_replica","Cluster_DR","Restore Point 17-07-2026 09:35:34","17/07/2026 09:38:49","0,37","<RPData PointTime=""5250884795775037784"" WorkingSnapshotTime=""5250884796127476838"" PointSize=""396361728"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP059_RE_replica","Cluster_DR","Restore Point 30-07-2026 15:12:08","30/07/2026 15:17:20","19,92","<RPData PointTime=""5250896229712752334"" WorkingSnapshotTime=""5250896230069157301"" PointSize=""21383610368"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002PMDBS028_replica","Cluster_DR","Restore Point 16-07-2026 16:46:16","16/07/2026 16:51:31","865,45","<RPData PointTime=""5250884190193829604"" WorkingSnapshotTime=""5250884190562250896"" PointSize=""929269022720"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002PMDBS028_replica","Cluster_DR","Restore Point 17-07-2026 00:45:57","17/07/2026 00:52:23","4,43","<RPData PointTime=""5250884478000065324"" WorkingSnapshotTime=""5250884478379490816"" PointSize=""4761583616"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002PMDBS028_replica","Cluster_DR","Restore Point 17-07-2026 08:52:33","17/07/2026 08:56:50","2,56","<RPData PointTime=""5250884769958503474"" WorkingSnapshotTime=""5250884770297975544"" PointSize=""2752512000"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX009_replica","Cluster_DR","Restore Point 30-07-2026 15:52:15","30/07/2026 16:06:28","64,05","<RPData PointTime=""5250896253777745654"" WorkingSnapshotTime=""5250896254139875642"" PointSize=""68775051264"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX009_replica","Cluster_DR","Restore Point 30-07-2026 16:08:31","30/07/2026 16:11:57","0,21","<RPData PointTime=""5250896263543494684"" WorkingSnapshotTime=""5250896263797983629"" PointSize=""220200960"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX011_replica","Cluster_DR","Restore Point 30-07-2026 16:08:32","30/07/2026 16:44:04","185,91","<RPData PointTime=""5250896263550510694"" WorkingSnapshotTime=""5250896263908453210"" PointSize=""199614267392"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
