"VM","PowerState","Host","Cluster","NumCPU","MemoryGB","ProvisionedSpaceGB","UsedSpaceGB","GuestOS","GuestId","HardwareVersion","ToolsStatus","ToolsVersion","IPAddress","DNSName","Datastores","Networks","Folder","Notes"
"TEST","PoweredOn","10.80.24.50","Cluster_DR","8","64","214,1","127,33","Microsoft Windows Server 2019 (64-bit)","windows9Server64Guest","vmx-14","guestToolsRunning","12384","10.82.13.20","TEST","DR_DS_ISOSTORE;DS_OS_MNGMT","LAN_2_SERVERS;LAN_SERVEURS;VM Network","Discovered virtual machine","Last backup: [08/09/2026 16:10:08]; Veeam server: [TG001VMREP002]; Job: [Backup Job_TEST]; Repository: [Default Backup Repository]"
"TG002VMDBS186","PoweredOff","10.80.24.20","Cluster_DR_Ext.","8","24","24,2","0",,"windows8Server64Guest","vmx-13",,,"",,"DS_PlaceHolder-DR","","Discovered virtual machine",
"TG001VMAOI210","PoweredOff","10.80.24.20","Cluster_DR_Ext.","8","16","166,22","150",,"rhel7_64Guest","vmx-14",,"10277","",,"DR_DS_OS_MGMT","FLZ-BACKEND","Discovered virtual machine",
"TG002VMWEB143","PoweredOff","10.80.24.20","Cluster_DR_Ext.","8","36","0,2","0",,"windows8Server64Guest","vmx-11",,,"",,"DS_PlaceHolder-DR","","Discovered virtual machine",
"TG001VMSRM171","PoweredOff","10.80.24.20","Cluster_DR_Ext.","2","10","160,24","16,78",,"windows8Server64Guest","vmx-14",,"10338","",,"DS_DR_SRM_OS","VM Network","Discovered virtual machine",
"TG001VMSRM172","PoweredOff","10.80.24.20","Cluster_DR_Ext.","2","10","160,24","14,4",,"windows8Server64Guest","vmx-14",,"10338","",,"DS_DR_SRM_OS","VM Network","Discovered virtual machine",
"TG001VMSRM173","PoweredOff","10.80.24.20","Cluster_DR_Ext.","2","10","160,24","14,26",,"windows8Server64Guest","vmx-14",,"10338","",,"DS_DR_SRM_OS","VM Network","Discovered virtual machine",
"TG002VMAPP141","PoweredOff","10.80.24.20","Cluster_DR_Ext.","4","24","0,2","0",,"windows8Server64Guest","vmx-11",,,"",,"DS_PlaceHolder-DR","","Discovered virtual machine",
"TG001VMSRM167","PoweredOff","10.80.24.20","Cluster_DR_Ext.","8","32","372,44","40,22",,"windows8Server64Guest","vmx-11",,"10338","",,"DS_DR_SRM_OS","VM Network","Discovered virtual machine",
"TG002VMBIA144","PoweredOff","10.80.24.20","Cluster_DR_Ext.","4","16","0,2","0",,"windows8Server64Guest","vmx-11",,,"",,"DS_PlaceHolder-DR","","Discovered virtual machine",
"TG002VMRPT142","PoweredOff","10.80.24.20","Cluster_DR_Ext.","4","12","0,2","0",,"windows8Server64Guest","vmx-11",,,"",,"DS_PlaceHolder-DR","","Discovered virtual machine",
"vCLS-9da814de-bb36-458b-964e-104fc5bc64ea","PoweredOn","10.80.24.50","Cluster_DR","1","0,125","2,2","1,19","VMware Photon OS (64-bit)","other26xLinux64Guest","vmx-11","guestToolsRunning","12389","","None","DR_DS_REP_001","","vCLS","vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster.
"
"vCLS-3bde27b1-630c-422e-96ab-7bd78fbf8388","PoweredOff","10.80.24.20","Cluster_DR_Ext.","1","0,125","2,32","1,15",,"other26xLinux64Guest","vmx-11",,"12389","","None","DS_DR_SRM_OS","","vCLS","vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster.
"
"vCLS-9381aac2-3479-4283-b59f-6d47dbc6b4b3","PoweredOff","10.80.24.20","Cluster_DR_Ext.","1","0,125","2,32","1,2",,"other26xLinux64Guest","vmx-11",,"12389","","None","DS_DR_SRM_OS","","vCLS","vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster.
"
"vCLS-325b12f3-e4a9-4e7d-9df4-eac64db8d6cb","PoweredOn","10.80.24.40","Cluster_DR","1","0,125","2,2","1,03","VMware Photon OS (64-bit)","other26xLinux64Guest","vmx-11","guestToolsRunning","12389","","None","DR_DS_REP_001","","vCLS","vSphere Cluster Service VM is deployed from an OVA with a minimal installed profile of PhotonOS. vSphere Cluster Service manages the resources, power state and availability of these VMs. vSphere Cluster Service VMs are required for maintaining the health and availability of vSphere Cluster Service. Any impact on the power state or resources of these VMs might degrade the health of the vSphere Cluster Service and cause vSphere DRS to cease operation for the cluster.
"
