"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"RHEL_TEST","Cluster_DR","Hard disk 1","50","Thick","Persistent","[DR_DS_OS_REP] RHEL_TEST/RHEL_TEST.vmdk"
"TG002VMPRTTEST_replica","Cluster_DR","Hard disk 1","300","Thin","Persistent","[DR_DS_REP_001] TG002VMPRTTEST_replica/TG002VMPRTTEST-000001.vmdk"
"TG002VMPRT001_replica","Cluster_DR","Hard disk 1","500","Thin","Persistent","[DR_DS_REP_001] TG002VMPRT001_replica/TG002VMPRT001-000001.vmdk"
"TG002VMICC121_RE_replica","Cluster_DR","Hard disk 1","400","Thin","Persistent","[DR_DS_REP_001] TG002VMICC121_RE_replica/TG002VMICC121_RE-000002.vmdk"
"TG002VMICC121_RE_replica","Cluster_DR","Hard disk 2","500","Thin","Persistent","[DR_DS_REP_001] TG002VMICC121_RE_replica/TG002VMICC121_RE_1-000002.vmdk"
"TG002VMICC127_replica","Cluster_DR","Hard disk 1","0","Thick","Persistent","[DR_DS_REP_001] TG002VMICC127_replica/TG002VMICC127-000005.vmdk"
"TG002VMICC127_replica","Cluster_DR","Hard disk 2","0","Thick","Persistent","[DR_DS_REP_001] TG002VMICC127_replica/TG002VMICC127_1-000005.vmdk"
"TG002VMICC127_replica","Cluster_DR","Hard disk 3","0","Thick","Persistent","[DR_DS_REP_001] TG002VMICC127_replica/TG002VMICC127_2-000005.vmdk"
"TG002VMICC127_replica","Cluster_DR","Hard disk 4","0","Thick","Persistent","[DR_DS_REP_001] TG002VMICC127_replica/TG002VMICC127_3-000005.vmdk"
"TG002PMDBS028_replica","Cluster_DR","Hard disk 1","250","Thin","Persistent","[DR_DS_REP_001] TG002PMDBS028_replica/TG002PMDBS027-000001.vmdk"
"TG002PMDBS028_replica","Cluster_DR","Hard disk 2","1024","Thin","Persistent","[DR_DS_REP_001] TG002PMDBS028_replica/TG002PMDBS027_1-000001.vmdk"
"TG002VMDBS126_RE_replica","Cluster_DR","Hard disk 1","300","Thin","Persistent","[DR_DS_REP_001] TG002VMDBS126_RE_replica/TG002VMDBS126_RE-000004.vmdk"
"TG002VMDBS126_RE_replica","Cluster_DR","Hard disk 2","400","Thin","Persistent","[DR_DS_REP_001] TG002VMDBS126_RE_replica/TG002VMDBS126_RE_1-000004.vmdk"
"TG002VMDBS126_RE_replica","Cluster_DR","Hard disk 3","1024","Thin","Persistent","[DR_DS_REP_001] TG002VMDBS126_RE_replica/TG002VMDBS126_RE_2-000004.vmdk"
"TG002VMICC122_replica","Cluster_DR","Hard disk 1","300","Thin","Persistent","[DR_DS_REP_001] TG002VMICC122_replica/TG002VMICC122-000257.vmdk"
"TG002VMSEI001_replica","Cluster_DR","Hard disk 1","200","Thin","Persistent","[DR_DS_REP_001] TG002VMSEI001_replica/TG002VMSEI001-000001.vmdk"
"TG002VMSEI001_replica","Cluster_DR","Hard disk 2","200","Thin","Persistent","[DR_DS_REP_001] TG002VMSEI001_replica/TG002VMSEI001_1-000001.vmdk"
"TG002VMXRT101_replica","Cluster_DR","Hard disk 1","200","Thin","Persistent","[DR_DS_REP_001] TG002VMXRT101_replica/TG002VMXRT101-000001.vmdk"
"TG002VMXRT101_replica","Cluster_DR","Hard disk 2","200","Thin","Persistent","[DR_DS_REP_001] TG002VMXRT101_replica/TG002VMXRT101_1-000001.vmdk"
"TG002VMDBS187_replica","Cluster_DR","Hard disk 1","500","Thin","Persistent","[DR_DS_REP_001] TG002VMDBS187_replica/TG002VMDBS187-000001.vmdk"
"TG002VMDBS187_replica","Cluster_DR","Hard disk 2","1536","Thin","Persistent","[DR_DS_REP_001] TG002VMDBS187_replica/TG002VMDBS187_1-000001.vmdk"
"TG002VMDBS187_replica","Cluster_DR","Hard disk 3","1024","Thin","Persistent","[DR_DS_REP_001] TG002VMDBS187_replica/TG002VMDBS187_1_1-000001.vmdk"
"TG002VMWEB130_replica","Cluster_DR","Hard disk 1","0","Thick","Persistent","[DR_DS_REP_001] TG002VMWEB130_replica/TG002VMWEB130-000257.vmdk"
