"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG001VMREP002","Cluster_DR","mem.vmmemctl.average","KB","118","0","0","0","0","0","08/09/2026 12:00:00","08/09/2026 22:15:00"
"VM","TG001VMREP002","Cluster_DR","net.usage.average","KBps","118","1636,8559","2777","43803","45238","0","08/09/2026 12:00:00","08/09/2026 22:15:00"
"VM","TG002VMREP001","Cluster_DR","cpu.ready.summation","millisecond","358","40884,3603","46498","48770","49975","22324","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMREP001","Cluster_DR","cpu.usage.average","%","358","4,9546","5,66","5,75","6,12","0,11","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMREP001","Cluster_DR","cpu.usagemhz.average","MHz","358","3325,8659","3801","3859","4108","75","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMREP001","Cluster_DR","disk.usage.average","KBps","358","666,3184","977","1840","9356","8","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMREP001","Cluster_DR","mem.consumed.average","KB","358","31491393,5894","35111343","35426565","41051062","4225750","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMREP001","Cluster_DR","mem.usage.average","%","358","3,0556","3,98","4,41","20,62","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMREP001","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMREP001","Cluster_DR","net.usage.average","KBps","358","15,5","21","24","898","1","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMREP001","Cluster_DR","cpu.ready.summation","millisecond","358","22081,5251","24808","25981","26429","9190","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMREP001","Cluster_DR","cpu.usage.average","%","358","0,2382","0,27","0,28","0,32","0,17","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMREP001","Cluster_DR","cpu.usagemhz.average","MHz","358","40,3994","46","47","54","29","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMREP001","Cluster_DR","disk.usage.average","KBps","358","7,9413","13","29","33","4","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMREP001","Cluster_DR","mem.consumed.average","KB","358","8090124,9162","8364032","8364032","8364032","1218996","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMREP001","Cluster_DR","mem.usage.average","%","358","1,8147","2,02","2,1","10,58","1,06","10/08/2026 00:00:00","08/09/2026 18:00:00"
