"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","0,1676","2","2","2","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","3214106,2542","3239908","3239908","3239908","3181893","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","1,0002","1,03","1,06","1,09","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP216","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","6503,6313","6816","6907","7040","5588","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP216","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,0205","0,02","0,03","0,03","0,02","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP216","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","9,0419","10","10","10","8","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP216","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP216","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","7227068,6648","7229172","7229172","7229172","7209091","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP216","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","0,99","0,99","0,99","1","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP216","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP216","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB212","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","12161,1425","12999","13167","13407","10723","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB212","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,1068","0,11","0,11","0,11","0,1","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB212","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","24","25","25","25","23","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB212","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","0,6927","1","2","2","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB212","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","66676671,1732","66682880","66682880","66682880","66312420","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB212","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","0,9909","1","1,02","1,02","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB212","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMEWB212","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD216","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","48048,4665","50725","52050","52848","45498","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD216","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,15","0,15","0,15","0,16","0,14","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD216","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","50,1564","51","52","53","49","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD216","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","2,0615","3","3","3","2","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD216","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","33430487,0056","33433600","33433600","33433600","33154987","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD216","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","1,0433","1,1","1,15","1,18","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD216","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD216","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0,0112","0","0","2","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMSMC225","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","17424,7877","18666","18997","19373","15273","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMSMC225","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,2097","0,22","0,22","0,23","0,2","10/08/2026 00:00:00","08/09/2026 18:00:00"
